epsilon,power_law_r2,logarithmic_r2
-1.0,0.9968667668101376,0.9960496857617321
1.0,0.9897249481444703,0.9667042281351973
10.0,0.9989185647074823,0.9665037646810243
50.0,0.9940161810539518,0.9884008539604868
100.0,0.9906630242386394,0.9955676005495334
200.0,0.9892645598052405,0.9981052431831335
