epsilon,gallery_size,accuracy
-1.0,2,0.9948391622407055
-1.0,5,0.983665697965728
-1.0,10,0.9727928650165347
-1.0,20,0.9613187694157731
-1.0,50,0.9441827838460768
-1.0,100,0.9309049002906102
-1.0,200,0.9168754384206834
-1.0,500,0.8963322978254334
-1.0,1000,0.8838560978053913
1.0,2,0.9654775027557871
1.0,5,0.8804489427798377
1.0,10,0.7964224872231687
1.0,20,0.7062330894879246
1.0,50,0.5703978354544543
1.0,100,0.4830644353141597
1.0,200,0.39798577011724623
1.0,500,0.2994288004810101
1.0,1000,0.24165748070948992
10.0,2,0.9660787654073555
10.0,5,0.8895179877743261
10.0,10,0.8085479506964626
10.0,20,0.7179577111935064
10.0,50,0.5931957109930854
10.0,100,0.4998496843371079
10.0,200,0.41842870027056817
10.0,500,0.3232287804389217
10.0,1000,0.26054714901292714
50.0,2,0.9756488626114841
50.0,5,0.9229381701573304
50.0,10,0.8604569596151919
50.0,20,0.7867020743561479
50.0,50,0.6739653271870929
50.0,100,0.5936967632027257
50.0,200,0.5178374586631928
50.0,500,0.4170257540835755
50.0,1000,0.3528910712496242
100.0,2,0.9826635935464475
100.0,5,0.9457360456959615
100.0,10,0.9026956608878646
100.0,20,0.8507365467481711
100.0,50,0.7711694558573003
100.0,100,0.7047299328590039
100.0,200,0.6369876741156428
100.0,500,0.545044593646658
100.0,1000,0.48121054213849085
200.0,2,0.9910311654474396
200.0,5,0.9702876039683335
200.0,10,0.9474396232087383
200.0,20,0.9177272271770719
200.0,50,0.8739352640545145
200.0,100,0.8313458262350937
200.0,200,0.7874536526706083
200.0,500,0.7269766509670308
200.0,1000,0.6750676420483014
