epsilon,gallery_size,accuracy
-1.0,2,1.0
-1.0,5,0.9991482112436116
-1.0,10,0.996041687543842
-1.0,20,0.9910311654474396
-1.0,50,0.9802084377192103
-1.0,100,0.9710391822827938
-1.0,200,0.959114139693356
-1.0,500,0.9429802585429402
-1.0,1000,0.9293516384407255
1.0,2,1.0
1.0,5,0.9965427397534823
1.0,10,0.9796572802886061
1.0,20,0.942679627217156
1.0,50,0.8591542238701273
1.0,100,0.7764806092794869
1.0,200,0.6811303737849483
1.0,500,0.5551658482813909
1.0,1000,0.4655777131977152
10.0,2,1.0
10.0,5,0.9968433710792665
10.0,10,0.9820122256739152
10.0,20,0.946788255336206
10.0,50,0.8681230584226877
10.0,100,0.7901593346026656
10.0,200,0.6956107826435515
10.0,500,0.575658883655677
10.0,1000,0.4862711694558573
50.0,2,1.0
50.0,5,0.9983465277081872
50.0,10,0.9889768513879146
50.0,20,0.9642248722316865
50.0,50,0.9072051307746267
50.0,100,0.8466279186291211
50.0,200,0.772422086381401
50.0,500,0.6653973344022447
50.0,1000,0.5846778234292013
100.0,2,1.0
100.0,5,0.9980960016033671
100.0,10,0.9907305341216555
100.0,20,0.9749473895179878
100.0,50,0.9368674215853292
100.0,100,0.8954304038480809
100.0,200,0.8426696061729633
100.0,500,0.7639543040384809
100.0,1000,0.6982162541336807
200.0,2,1.0
200.0,5,0.9983465277081872
200.0,10,0.9949393726826335
200.0,20,0.9861709590139293
200.0,50,0.9636737148010823
200.0,100,0.9419781541236597
200.0,200,0.9151718609079066
200.0,500,0.8716805291111334
200.0,1000,0.8315462471189498
