epsilon,gallery_size,avg_rank,rank_1_accuracy,rank_5_accuracy,rank_10_accuracy,rank_50_accuracy
-1.0,2,0.08172161539232388,0.9835654875238,0.9948391622407055,0.9972442128469786,1.0
-1.0,5,0.33735845275077664,0.9641747670107225,0.983665697965728,0.9890269566088786,0.9991482112436116
-1.0,10,0.756087784347129,0.9504960416875439,0.9727928650165347,0.9812606473594548,0.996041687543842
-1.0,20,1.5563182683635635,0.9348131075258042,0.9613187694157731,0.9722417075859304,0.9910311654474396
-1.0,50,4.221014129672312,0.9128670207435615,0.9441827838460768,0.9565587734241908,0.9802084377192103
-1.0,100,8.454103617596953,0.8986371379897785,0.9309049002906102,0.9419280489026957,0.9710391822827938
-1.0,200,17.09003908207235,0.883304940374787,0.9168754384206834,0.930303637639042,0.959114139693356
-1.0,500,42.74140695460467,0.8610582222667602,0.8963322978254334,0.9113137588936767,0.9429802585429402
-1.0,1000,85.68458763403147,0.8451247620002004,0.8838560978053913,0.8966830343721816,0.9293516384407255
1.0,2,0.5259545044593646,0.8880649363663694,0.9654775027557871,0.9828139092093396,1.0
1.0,5,2.186090790660387,0.7337408557971741,0.8804489427798377,0.9293516384407255,0.9965427397534823
1.0,10,4.881801783745867,0.6194508467782343,0.7964224872231687,0.8631626415472492,0.9796572802886061
1.0,20,10.254684838160136,0.5159334602665597,0.7062330894879246,0.7832949193305943,0.942679627217156
1.0,50,26.620603266860407,0.3920733540434913,0.5703978354544543,0.6583826034672813,0.8591542238701273
1.0,100,53.97204128670207,0.31851888966830344,0.4830644353141597,0.5625814209840665,0.7764806092794869
1.0,200,108.41487122958212,0.2506263152620503,0.39798577011724623,0.4710892875037579,0.6811303737849483
1.0,500,271.99103116544745,0.18358552961218558,0.2994288004810101,0.36521695560677425,0.5551658482813909
1.0,1000,544.5641346828339,0.14229882753782944,0.24165748070948992,0.29642248722316866,0.4655777131977152
10.0,2,0.5148812506263153,0.8926245114740956,0.9660787654073555,0.9829141196512676,1.0
10.0,5,2.0321675518589037,0.7461168453752881,0.8895179877743261,0.9330093195710993,0.9968433710792665
10.0,10,4.533770918929752,0.6370878845575709,0.8085479506964626,0.8723820022046297,0.9820122256739152
10.0,20,9.55777131977152,0.5341216554765007,0.7179577111935064,0.7940675418378595,0.946788255336206
10.0,50,24.824381200521096,0.4151217556869426,0.5931957109930854,0.6722617496743161,0.8681230584226877
10.0,100,50.17266259144203,0.33886160937969734,0.4998496843371079,0.5791161439021946,0.7901593346026656
10.0,200,100.8059925844273,0.27292313859104117,0.41842870027056817,0.4941376891472091,0.6956107826435515
10.0,500,253.12977252229683,0.20272572402044292,0.3232287804389217,0.3878144102615493,0.575658883655677
10.0,1000,506.5767110932959,0.1616895480509069,0.26054714901292714,0.3171159434813108,0.4862711694558573
50.0,2,0.37734241908006816,0.9226876440525102,0.9756488626114841,0.9875739052009219,1.0
50.0,5,1.387012726726125,0.8040384808097004,0.9229381701573304,0.9561078264355146,0.9983465277081872
50.0,10,3.1615893376089788,0.7099408758392625,0.8604569596151919,0.9112135484517486,0.9889768513879146
50.0,20,6.734993486321275,0.6214049503958312,0.7867020743561479,0.8482813909209339,0.9642248722316865
50.0,50,17.45229982964225,0.5078164144703878,0.6739653271870929,0.7468183184687844,0.9072051307746267
50.0,100,35.07525804188796,0.4293015332197615,0.5936967632027257,0.6688044894277984,0.8466279186291211
50.0,200,70.36110832748773,0.36421485118749375,0.5178374586631928,0.5894879246417477,0.772422086381401
50.0,500,177.06964625714,0.28414670808698267,0.4170257540835755,0.4852690650365768,0.6653973344022447
50.0,1000,353.7429101112336,0.23619601162441126,0.3528910712496242,0.41447038781441026,0.5846778234292013
100.0,2,0.2658081972141497,0.9470387814410262,0.9826635935464475,0.9907806393426195,1.0
100.0,5,1.0396833350035073,0.8630123258843572,0.9457360456959615,0.9660286601863914,0.9980960016033671
100.0,10,2.2850987072852993,0.793165647860507,0.9026956608878646,0.9373183685740054,0.9907305341216555
100.0,20,4.75884357150015,0.7218158132077362,0.8507365467481711,0.8996893476300231,0.9749473895179878
100.0,50,12.431556268163142,0.6214550556167953,0.7711694558573003,0.8285399338611084,0.9368674215853292
100.0,100,25.012626515682935,0.5543641647459665,0.7047299328590039,0.7662591442028259,0.8954304038480809
100.0,200,50.52891071249624,0.48531917025754084,0.6369876741156428,0.6977152019240405,0.8426696061729633
100.0,500,126.27141998196213,0.4005411363864115,0.545044593646658,0.6089788555967531,0.7639543040384809
100.0,1000,253.25663894177774,0.34292013227778334,0.48121054213849085,0.5407355446437518,0.6982162541336807
200.0,2,0.1384908307445636,0.9683335003507365,0.9910311654474396,0.9955907405551658,1.0
200.0,5,0.5792664595650867,0.9246417476701072,0.9702876039683335,0.9821625413368072,0.9983465277081872
200.0,10,1.2728229281491132,0.8835554664796071,0.9474396232087383,0.9660286601863914,0.9949393726826335
200.0,20,2.740104218859605,0.8404649764505462,0.9177272271770719,0.9430303637639041,0.9861709590139293
200.0,50,7.104519490930955,0.7750275578715302,0.8739352640545145,0.9060026054714901,0.9636737148010823
200.0,100,14.319320573203727,0.727577913618599,0.8313458262350937,0.8697765307145005,0.9419781541236597
200.0,200,28.93526405451448,0.6727628018839563,0.7874536526706083,0.8306944583625614,0.9151718609079066
200.0,500,71.835654875238,0.602515282092394,0.7269766509670308,0.772572402044293,0.8716805291111334
200.0,1000,144.2858001803788,0.549253432207636,0.6750676420483014,0.7245214951397936,0.8315462471189498
