epsilon,gallery_1000,gallery_5000,gallery_10000,gallery_50000,gallery_100000,gallery_500000,gallery_1000000
-1.0,0.8463781926284489,0.8105872367221582,0.7951729110222803,0.7593819551159896,0.7439676294161117,0.7081766735098209,0.6927623478099432
1.0,0.07981219278902152,-0.1138826149860962,-0.19730242811537113,-0.3909972358904886,-0.47441704901976356,-0.668111856794881,-0.751531669924156
10.0,0.1033205801033269,-0.08719278265388042,-0.1692424219931422,-0.3597557847503491,-0.4418054240896109,-0.632318786846818,-0.7143684261860798
50.0,0.1978602373965932,0.017393641420153094,-0.06032909098220163,-0.24079568695864162,-0.31851841936099645,-0.4989850153374362,-0.576707747739791
100.0,0.33931324061344115,0.18537983160413085,0.11908432083949727,-0.0348490881698128,-0.1011445989344465,-0.25507800794375657,-0.32137351870839004
200.0,0.5753094726964327,0.4763608263381707,0.433745963898573,0.33479731754031117,0.2921824551007135,0.19323380874245155,0.15061894630285388
