epsilon,gallery_size,accuracy
-1.0,2,0.9835654875238
-1.0,5,0.9641747670107225
-1.0,10,0.9504960416875439
-1.0,20,0.9348131075258042
-1.0,50,0.9128670207435615
-1.0,100,0.8986371379897785
-1.0,200,0.883304940374787
-1.0,500,0.8610582222667602
-1.0,1000,0.8451247620002004
1.0,2,0.8880649363663694
1.0,5,0.7337408557971741
1.0,10,0.6194508467782343
1.0,20,0.5159334602665597
1.0,50,0.3920733540434913
1.0,100,0.31851888966830344
1.0,200,0.2506263152620503
1.0,500,0.18358552961218558
1.0,1000,0.14229882753782944
10.0,2,0.8926245114740956
10.0,5,0.7461168453752881
10.0,10,0.6370878845575709
10.0,20,0.5341216554765007
10.0,50,0.4151217556869426
10.0,100,0.33886160937969734
10.0,200,0.27292313859104117
10.0,500,0.20272572402044292
10.0,1000,0.1616895480509069
50.0,2,0.9226876440525102
50.0,5,0.8040384808097004
50.0,10,0.7099408758392625
50.0,20,0.6214049503958312
50.0,50,0.5078164144703878
50.0,100,0.4293015332197615
50.0,200,0.36421485118749375
50.0,500,0.28414670808698267
50.0,1000,0.23619601162441126
100.0,2,0.9470387814410262
100.0,5,0.8630123258843572
100.0,10,0.793165647860507
100.0,20,0.7218158132077362
100.0,50,0.6214550556167953
100.0,100,0.5543641647459665
100.0,200,0.48531917025754084
100.0,500,0.4005411363864115
100.0,1000,0.34292013227778334
200.0,2,0.9683335003507365
200.0,5,0.9246417476701072
200.0,10,0.8835554664796071
200.0,20,0.8404649764505462
200.0,50,0.7750275578715302
200.0,100,0.727577913618599
200.0,200,0.6727628018839563
200.0,500,0.602515282092394
200.0,1000,0.549253432207636
