,query_key,k,similarity
0,avatars___20210810--1306--FXN596,142,0.9628694206476212
1,avatars___20210817--0900--NRE683,134,0.9589096084237099
2,avatars___20210818--1332--CDR970,35,0.8977101594209671
3,avatars___20210819--0903--DOT682,41,0.899559460580349
4,avatars___20210827--0906--KDA058,165,0.9952572258189321
5,avatars___20210831--0815--XJT672,37,0.9031023383140564
6,avatars___20210901--0833--LAS440,79,0.913526751101017
7,avatars___20210902--0817--IFG774,223,1.022334972396493
8,avatars___20210922--0839--UHV563,0,0.16842329502105713
9,avatars___20210928--0843--PAK800,47,0.8935413882136345
10,avatars___20210929--0827--MCR809,62,0.9156621247529984
11,avatars___20210929--1334--SKB942,53,0.9138600155711174
12,avatars___20211001--0855--KJJ701,58,0.9132661744952202
13,avatars___20211001--1304--XMY093,65,0.9103523418307304
14,avatars___20211006--0836--EID363,85,0.9638966806232929
15,avatars___20220114--0820--JZE802,112,0.9530144669115543
16,avatars___20220202--0844--THN461,156,0.9781855475157499
17,avatars___20220214--0846--HOS732,16,0.8487938195466995
18,avatars___20220215--0801--ONK705,171,0.9835090301930904
19,avatars___20220216--1324--ZSE894,111,0.9777369517832994
20,avatars___20220218--0839--XIT043,59,0.9185730665922165
21,avatars___20220303--1247--TAY503,110,0.9695178493857384
22,avatars___20220304--1320--NNQ107,72,0.9444954171776772
23,avatars___20220307--1342--RGA575,221,1.0379622094333172
24,avatars___20220310--1128--ZSC414,62,0.9320063591003418
25,avatars___20220310--1336--XRZ540,246,1.067458137869835
26,avatars___20220311--1115--NFU480,2,0.23825448751449585
27,avatars___20220314--1116--KMD200,34,0.8911286145448685
28,avatars___20220315--0818--HDZ165,167,1.0020404227543622
29,avatars___20220315--1053--FWC239,180,0.9984821648104116
30,avatars___20220401--0841--PHT202,18,0.8417661637067795
31,avatars___20220406--1314--PGO261,66,0.9330094456672668
32,avatars___20220407--0816--OYQ923,126,0.9619777947664261
33,avatars___20220412--1326--BGR645,50,0.9182740598917007
34,avatars___20220426--1126--SCG995,184,1.0052219699136913
35,avatars___20220510--0837--WFU321,29,0.8869080916047096
36,avatars___20220510--1051--OZZ515,19,0.8568576276302338
37,avatars___20220610--0901--TRP396,162,0.9938845476135612
38,avatars___20220614--1135--DNM410,193,1.0051452703773975
39,avatars___20220627--0812--BPM833,161,0.9738748949021101
40,avatars___20220705--1055--JPG686,73,0.9421839006245136
41,avatars___20220711--1048--UGU718,92,0.9545041993260384
42,avatars___20220711--1300--BHC106,91,0.9440638273954391
43,avatars___20220712--1040--JEH262,45,0.897850289940834
44,avatars___20220714--1031--NAB660,4,0.7998460829257965
45,avatars___20220726--1314--HNU630,43,0.9507799334824085
46,avatars___20220727--1059--TMA321,44,0.9055778682231903
47,avatars___20220802--0838--IDD857,13,0.877499520778656
48,avatars___20220805--1649--NCU289,126,0.9613942578434944
49,avatars___20220808--0809--DPE040,1,0.7953359037637711
50,avatars___20220808--1036--IBX730,126,0.9543451219797134
51,avatars___20220809--1034--BJM420,1,0.7142674326896667
52,avatars___20220809--1321--UTC375,9,0.8450827151536942
53,avatars___20220811--1704--HAZ933,56,0.9272073060274124
54,avatars___20220812--1031--KVG225,210,1.0143685834482312
55,avatars___20220815--0815--GZL442,195,1.0147600611671805
56,avatars___20220815--1041--FZC097,8,0.8440921902656555
57,avatars___20220815--1307--BMP511,147,0.9808655399829149
58,avatars___20220815--1656--MOP211,201,1.0288865752518177
59,avatars___20220818--1304--VCN655,167,0.9672956131398678
60,avatars___20220818--1653--SSF476,10,0.8238131105899811
61,avatars___20220819--0803--BUS250,227,1.039534043520689
62,avatars___20220819--1313--NYY338,160,0.9969739799853414
63,avatars___20220824--0804--GTU803,89,0.9517513737082481
64,avatars___20220829--0836--KSA222,48,0.9055151790380478
65,avatars___20220830--1711--JZN879,11,0.8608289510011673
66,avatars___20220831--0751--CMS162,212,1.043370295315981
67,avatars___20220831--1047--ZUS575,16,0.9026898741722107
68,avatars___20220901--1305--LNP057,31,0.8883263766765594
69,avatars___20221213--1425--VBY735,1,0.7112880051136017
70,avatars___20230106--1047--QCW581,211,1.0138964364305139
71,avatars___20230109--1327--NFS933,149,0.993187649641186
72,avatars___20230124--1415--KKF424,1,0.690882533788681
73,avatars___20230131--1229--WBX393,129,0.9754908625036478
74,avatars___20230206--1354--MFS340,93,0.9270272552967072
75,avatars___20230207--1619--DTW301,26,0.8859396204352379
76,avatars___20230213--0817--KGV285,84,0.9448149427771568
77,avatars___20230222--1639--KYL945,39,0.9043173864483833
78,avatars___20230224--1102--UPC002,230,1.0321898236870766
79,avatars___20230224--1359--CMZ386,115,0.9588299579918385
80,avatars___20230227--1052--TXE513,17,0.8954833298921585
81,avatars___20230227--1659--TRT983,135,0.9508615583181381
82,avatars___20230228--1358--HUJ848,64,0.9198524877429008
83,avatars___20230301--1646--VNS883,85,0.9617694802582264
84,avatars___20230302--0808--SEI058,56,0.9087863489985466
85,avatars___20230302--1343--UWK768,200,1.0196593590080738
86,avatars___20230302--1654--LVY864,1,0.5935043692588806
87,avatars___20230303--0802--EFQ599,191,1.0097619462758303
88,avatars___20230303--1634--ZKN852,3,0.7537917792797089
89,avatars___20230306--0812--CYQ521,28,0.8805965483188629
90,avatars___20230306--1402--IXG477,2,0.7342483997344971
91,avatars___20230307--0805--FQC133,125,0.9607661105692387
92,avatars___20230307--1648--KUG325,111,0.9446026869118214
93,avatars___20230308--1352--BDF920,70,0.9170460030436516
94,avatars___20230308--1639--IKB041,22,0.8664251118898392
95,avatars___20230309--0820--CPA784,252,1.1108207702636719
96,avatars___20230309--1343--RIM072,239,1.0451135747134686
97,avatars___20230310--1106--FCT871,21,0.8941050991415977
98,avatars___20230313--0819--GCZ208,234,1.065463937819004
99,avatars___20230313--1653--RHL466,86,0.9476558193564415
100,avatars___20230314--1632--PFN770,17,0.8695225864648819
101,avatars___20230315--0816--TEA904,178,1.0153040578588843
102,avatars___20230315--1638--UIS049,24,0.8792564123868942
103,avatars___20230316--1103--BHK376,158,0.9754661899060011
104,avatars___20230316--1356--GXR876,138,0.978702811524272
105,avatars___20230317--1054--GBQ558,237,1.0456092022359371
106,avatars___20230317--1648--ONK818,55,0.9280117973685265
107,avatars___20230320--0810--ZJN985,8,0.8360582739114761
108,avatars___20230322--0820--QHY185,135,0.98280262760818
109,avatars___20230322--1706--IBQ026,61,0.932430736720562
110,avatars___20230323--1044--HRO745,141,0.957192737609148
111,avatars___20230323--1348--ZQK191,159,0.9841044321656227
112,avatars___20230323--1656--MZL038,114,0.9626359343528748
113,avatars___20230324--0820--AEY864,248,1.088274985551834
114,avatars___20230324--1118--ZZS850,78,0.9246414676308632
115,avatars___20230324--1647--YWZ007,41,0.9336027130484581
116,avatars___20230327--1036--RSC756,4,0.8391052037477493
117,avatars___20230328--0800--BLY735,162,0.9802798163145781
118,avatars___20230328--1214--IEY203,81,0.9506051242351532
119,avatars___20230330--0823--LMT312,66,0.9304984509944916
120,avatars___20230330--1421--UCD539,67,0.9264508336782455
121,avatars___20230403--1022--RWS274,89,0.9490003138780594
122,avatars___20230404--0804--GJI283,13,0.8476421236991882
123,avatars___20230404--1217--DED409,4,0.8301622271537781
124,avatars___20230405--1213--NWM763,41,0.8881586939096451
125,avatars___20230405--1635--AAN112,195,1.0193978995084763
126,avatars___20230406--1655--IEM175,135,0.971459848806262
127,avatars___20230407--1229--UMQ592,74,0.9240051880478859
128,avatars___20230410--0805--TWP078,56,0.9395971968770027
129,avatars___20230410--1017--GVM433,203,0.9858203055337071
130,avatars___20230410--1641--ENU192,64,0.9251120686531067
131,avatars___20230412--1218--LCJ763,14,0.8312836736440659
132,avatars___20230413--1031--PDG961,191,1.0180426947772503
133,avatars___20230421--1716--ZWR419,6,0.8413830399513245
134,avatars___20230424--1024--VOG927,39,0.9038305804133415
135,avatars___20230501--1015--PHE887,1,0.7797187715768814
136,avatars___20230502--0816--ORZ494,204,1.007543746381998
137,avatars___20230502--1030--NOG724,215,1.020821826532483
138,avatars___20230502--1418--RWA092,147,0.9972807024605572
139,avatars___20230503--1006--HDM935,21,0.9049134477972984
140,avatars___20230503--1400--JUP632,3,0.7845039218664169
141,avatars___20230508--0828--XIK500,246,1.056192085146904
142,avatars___20230508--1015--XGD109,92,0.9535160958766937
143,avatars___20230511--0810--DUA525,70,0.909531868994236
144,avatars___20230512--1009--ZEL435,41,0.8968794643878937
145,avatars___20230515--0817--JUP244,93,0.961163654923439
146,avatars___20230515--1236--UII082,82,0.9343953058123589
147,avatars___20230516--0802--KOH994,3,0.7469899952411652
148,avatars___20230516--1240--UQD073,205,1.0204714313149452
149,avatars___20230517--1211--QZP994,45,0.8977743089199066
150,avatars___20230518--1009--RFZ285,23,0.8627445995807648
151,avatars___20230525--1403--IHO061,48,0.9236852079629898
152,avatars___20230526--1657--TLD140,119,0.9533494263887405
153,avatars___20230530--1417--RKG241,19,0.875372439622879
154,avatars___20230531--1207--KTI779,107,0.9623463004827499
155,avatars___20230601--1051--NEB896,0,0.2690393328666687
156,avatars___20230601--1208--UJD603,12,0.8414668589830399
157,avatars___20230601--1428--FJC651,34,0.8886347189545631
158,avatars___20230602--0800--TOU998,63,0.9332999661564827
159,avatars___20230602--1453--FMB793,4,0.8117493242025375
160,avatars___20230605--1354--JJA915,55,0.9167349487543106
161,avatars___20230607--0809--PZC599,3,0.7968633621931076
162,avatars___20230607--1409--HVO722,32,0.896910086274147
163,avatars___20230607--1652--ZUE409,3,0.7999258786439896
164,avatars___20230608--1009--YIK625,17,0.8765669465065002
165,avatars___20230608--1209--EPY965,84,0.9296025782823563
166,avatars___20230609--0959--LXC339,48,0.9295706450939178
167,avatars___20230612--1211--JFS610,6,0.8160311877727509
168,avatars___20230615--0808--WXT125,18,0.8590298593044281
169,avatars___20230615--1702--DAT749,44,0.8868763297796249
170,avatars___20230627--1045--UMJ550,1,0.6434946954250336
171,avatars___20230627--1701--SIQ409,73,0.9165374413132668
172,avatars___20230628--1405--IJB027,82,0.917183168232441
173,avatars___20230629--1004--QBN395,53,0.9124350920319557
174,avatars___20230629--1159--APP152,50,0.9264819473028183
175,avatars___20230630--1424--RSY180,19,0.8895028978586197
176,avatars___20230630--1651--HTL154,50,0.909216858446598
177,avatars___20230703--0826--ZWG600,66,0.9180448800325394
178,avatars___20230705--1657--HBT289,148,0.9877824047580361
179,avatars___20230706--1016--CVR434,26,0.8760648667812347
180,avatars___20230707--0817--KIX259,140,0.9874671036377549
181,avatars___20230707--1200--MQL211,104,0.9530439116060734
182,avatars___20230710--0814--WWY595,86,0.9530453346669674
183,avatars___20230717--0836--PSV686,189,1.01503028254956
184,avatars___20230717--1225--QNG975,60,0.9184025526046753
185,avatars___20230718--1021--UYF211,70,0.9289501160383224
186,avatars___20230718--1434--YYA788,172,0.9905131356790662
187,avatars___20230719--1655--MVB233,103,0.962610237300396
188,avatars___20230720--1025--CTP175,141,0.9775689467787743
189,avatars___20230720--1415--MJX355,80,0.9406617246568203
190,avatars___20230721--1207--WOZ406,96,0.9470362588763237
191,avatars___20230724--0814--IIQ590,157,0.998382264515385
192,avatars___20230725--1218--KXI621,122,0.9588206857442856
193,avatars___20230725--1407--OWI326,83,0.9415023885667324
194,avatars___20230726--0805--GZU008,253,1.113570936024189
195,avatars___20230726--1016--RLB874,22,0.865637943148613
196,avatars___20230726--1657--AYE877,134,0.9868294894695282
197,avatars___20230727--1211--RSJ093,6,0.8167297691106796
198,avatars___20230728--0757--CRV122,202,1.02807860635221
199,avatars___20230728--1002--EXA831,237,1.0768028274178505
200,avatars___20230728--1203--FGK870,7,0.834565281867981
201,avatars___20230728--1206--SVG441,1,0.7985341548919678
202,avatars___20230728--1401--FPK790,207,1.0299513805657625
203,avatars___20230801--1420--EJG940,239,1.0503254234790802
204,avatars___20230802--1003--KAP399,81,0.9574250243604183
205,avatars___20230802--1205--LPB114,182,1.019611056894064
206,avatars___20230804--1159--MZW030,2,0.8074740469455719
207,avatars___20230804--1714--URP626,70,0.9258015751838684
208,avatars___20230807--0839--TCE049,182,1.0251455828547478
209,avatars___20230807--1011--TWH159,49,0.927265502512455
210,avatars___20230808--0759--YLC760,6,0.8149749785661697
211,avatars___20230808--1157--YJF815,1,0.7817532867193222
212,avatars___20230808--1656--QFA788,141,0.9770661722868681
213,avatars___20230809--0814--LWN501,115,0.9579712674021721
214,avatars___20230809--1645--ITH925,114,0.9632750935852528
215,avatars___20230810--0812--OXS375,153,0.9817978609353304
