,query_key,k,similarity
0,avatars___20210810--1306--FXN596,1,0.6658624708652496
1,avatars___20210817--0900--NRE683,1,0.7662846148014069
2,avatars___20210818--1332--CDR970,3,0.8135275691747665
3,avatars___20210819--0903--DOT682,58,0.9201174452900887
4,avatars___20210827--0906--KDA058,19,0.8792123645544052
5,avatars___20210831--0815--XJT672,197,1.0032157860696316
6,avatars___20210901--0833--LAS440,14,0.8581196516752243
7,avatars___20210902--0817--IFG774,2,0.7770122736692429
8,avatars___20210922--0839--UHV563,0,0.12530946731567383
9,avatars___20210928--0843--PAK800,24,0.8726415485143661
10,avatars___20210929--0827--MCR809,4,0.8563215583562851
11,avatars___20210929--1334--SKB942,11,0.8533589541912079
12,avatars___20211001--0855--KJJ701,20,0.8678591251373291
13,avatars___20211001--1304--XMY093,71,0.9359054863452911
14,avatars___20211006--0836--EID363,1,0.6467632949352264
15,avatars___20220114--0820--JZE802,9,0.8178861737251282
16,avatars___20220202--0844--THN461,183,1.0064969547092915
17,avatars___20220214--0846--HOS732,1,0.7640346884727478
18,avatars___20220215--0801--ONK705,0,0.6517550945281982
19,avatars___20220216--1324--ZSE894,0,0.3577588200569153
20,avatars___20220218--0839--XIT043,219,1.0336513258516788
21,avatars___20220303--1247--TAY503,131,0.9670100174844265
22,avatars___20220304--1320--NNQ107,181,1.0106525225564837
23,avatars___20220307--1342--RGA575,34,0.8858042657375336
24,avatars___20220310--1128--ZSC414,54,0.9101887419819832
25,avatars___20220310--1336--XRZ540,42,0.9279090836644173
26,avatars___20220311--1115--NFU480,6,0.7986820340156555
27,avatars___20220314--1116--KMD200,130,0.9640306755900383
28,avatars___20220315--0818--HDZ165,25,0.8837547227740288
29,avatars___20220315--1053--FWC239,100,0.9358071535825729
30,avatars___20220401--0841--PHT202,72,0.9270705506205559
31,avatars___20220406--1314--PGO261,63,0.9075149968266487
32,avatars___20220407--0816--OYQ923,154,0.9979096367023885
33,avatars___20220412--1326--BGR645,0,0.3075940012931824
34,avatars___20220426--1126--SCG995,204,1.0086539704352617
35,avatars___20220510--0837--WFU321,204,1.0358682982623577
36,avatars___20220510--1051--OZZ515,0,0.38136810064315796
37,avatars___20220610--0901--TRP396,56,0.9242470115423203
38,avatars___20220614--1135--DNM410,60,0.9166853949427605
39,avatars___20220627--0812--BPM833,18,0.8832019418478012
40,avatars___20220705--1055--JPG686,1,0.7180835008621216
41,avatars___20220711--1048--UGU718,1,0.7267451286315918
42,avatars___20220711--1300--BHC106,2,0.7239525020122528
43,avatars___20220712--1040--JEH262,146,0.9711719937622547
