,query_key,k,similarity
0,avatars___20210810--1306--FXN596,115,0.9824427030980587
1,avatars___20210817--0900--NRE683,41,0.9092451855540276
2,avatars___20210818--1332--CDR970,54,0.8903813138604164
3,avatars___20210819--0903--DOT682,186,0.9997317388188094
4,avatars___20210827--0906--KDA058,201,1.007867293432355
5,avatars___20210831--0815--XJT672,142,0.9603209309279919
6,avatars___20210901--0833--LAS440,61,0.9173629432916641
7,avatars___20210902--0817--IFG774,70,0.9318377375602722
8,avatars___20210922--0839--UHV563,0,0.27432411909103394
9,avatars___20210928--0843--PAK800,41,0.889578714966774
10,avatars___20210929--0827--MCR809,24,0.8778186589479446
11,avatars___20210929--1334--SKB942,44,0.8957326859235764
12,avatars___20211001--0855--KJJ701,110,0.9491961300373077
13,avatars___20211001--1304--XMY093,213,1.0186602640897036
14,avatars___20211006--0836--EID363,80,0.9326759651303291
15,avatars___20220114--0820--JZE802,4,0.8069225251674652
16,avatars___20220202--0844--THN461,98,0.9640755616128445
17,avatars___20220214--0846--HOS732,217,1.021023178473115
18,avatars___20220215--0801--ONK705,23,0.8969243615865707
19,avatars___20220216--1324--ZSE894,246,1.0968911722302437
20,avatars___20220218--0839--XIT043,43,0.8956902623176575
21,avatars___20220303--1247--TAY503,250,1.115679383277893
22,avatars___20220304--1320--NNQ107,54,0.912020854651928
23,avatars___20220307--1342--RGA575,49,0.8908477947115898
24,avatars___20220310--1128--ZSC414,7,0.8449641764163971
25,avatars___20220310--1336--XRZ540,220,1.028412215411663
26,avatars___20220311--1115--NFU480,3,0.6314269304275513
27,avatars___20220314--1116--KMD200,101,0.9661528877913952
28,avatars___20220315--0818--HDZ165,11,0.8547034114599228
29,avatars___20220315--1053--FWC239,70,0.9235501512885094
30,avatars___20220401--0841--PHT202,3,0.802828922867775
31,avatars___20220406--1314--PGO261,20,0.877864271402359
32,avatars___20220407--0816--OYQ923,166,0.9818946719169617
33,avatars___20220412--1326--BGR645,5,0.8605818599462509
34,avatars___20220426--1126--SCG995,90,0.9528323523700237
35,avatars___20220510--0837--WFU321,49,0.9163096621632576
36,avatars___20220510--1051--OZZ515,176,0.9818346630781889
37,avatars___20220610--0901--TRP396,123,0.9551610760390759
38,avatars___20220614--1135--DNM410,24,0.8620740473270416
39,avatars___20220627--0812--BPM833,31,0.8930180668830872
40,avatars___20220705--1055--JPG686,146,0.9696145802736282
41,avatars___20220711--1048--UGU718,105,0.9552813582122326
42,avatars___20220711--1300--BHC106,123,0.9727403782308102
43,avatars___20220712--1040--JEH262,120,0.9552573040127754
44,avatars___20220714--1031--NAB660,9,0.8438964188098907
45,avatars___20220726--1314--HNU630,26,0.88535076379776
46,avatars___20220727--1059--TMA321,184,1.0060895448550582
47,avatars___20220802--0838--IDD857,18,0.8736265450716019
48,avatars___20220805--1649--NCU289,81,0.9514340423047543
49,avatars___20220808--0809--DPE040,18,0.866366058588028
50,avatars___20220808--1036--IBX730,35,0.881540909409523
51,avatars___20220809--1034--BJM420,1,0.6807216703891754
52,avatars___20220809--1321--UTC375,112,0.9429864808917046
53,avatars___20220811--1704--HAZ933,10,0.803781732916832
54,avatars___20220812--1031--KVG225,126,0.9497969634830952
55,avatars___20220815--0815--GZL442,190,1.010801707394421
56,avatars___20220815--1041--FZC097,0,0.6931179761886597
57,avatars___20220815--1307--BMP511,12,0.8256916552782059
58,avatars___20220815--1656--MOP211,52,0.9071953073143959
59,avatars___20220818--1304--VCN655,149,0.9681808315217495
60,avatars___20220818--1653--SSF476,73,0.9329295232892036
61,avatars___20220819--0803--BUS250,190,1.0190297104418278
62,avatars___20220819--1313--NYY338,142,0.9945877254940569
63,avatars___20220824--0804--GTU803,4,0.8147379457950592
64,avatars___20220829--0836--KSA222,22,0.8702071309089661
65,avatars___20220830--1711--JZN879,167,0.9809433184564114
66,avatars___20220831--0751--CMS162,63,0.9365009218454361
67,avatars___20220831--1047--ZUS575,89,0.9386521875858307
68,avatars___20220901--1305--LNP057,23,0.8668424636125565
69,avatars___20221213--1425--VBY735,49,0.9073152244091034
70,avatars___20230106--1047--QCW581,205,1.03207528591156
71,avatars___20230109--1327--NFS933,56,0.8968470990657806
72,avatars___20230124--1415--KKF424,9,0.8155287951231003
73,avatars___20230131--1229--WBX393,83,0.9441637359559536
74,avatars___20230206--1354--MFS340,30,0.9063528850674629
75,avatars___20230207--1619--DTW301,67,0.9112285748124123
76,avatars___20230213--0817--KGV285,83,0.9349739328026772
77,avatars___20230222--1639--KYL945,72,0.9462261311709881
78,avatars___20230224--1102--UPC002,61,0.9280990660190582
79,avatars___20230224--1359--CMZ386,34,0.905784361064434
