,query_key,k,similarity
0,avatars___20210810--1306--FXN596,113,0.9355560690164566
1,avatars___20210817--0900--NRE683,27,0.8916334360837936
2,avatars___20210818--1332--CDR970,3,0.7840228974819183
3,avatars___20210819--0903--DOT682,137,0.97273014113307
4,avatars___20210827--0906--KDA058,96,0.953064538538456
5,avatars___20210831--0815--XJT672,98,0.9646580331027508
6,avatars___20210901--0833--LAS440,3,0.7918707877397537
7,avatars___20210902--0817--IFG774,0,0.5858592689037323
8,avatars___20210922--0839--UHV563,0,0.15050047636032104
9,avatars___20210928--0843--PAK800,56,0.9098665192723274
10,avatars___20210929--0827--MCR809,11,0.8808348253369331
11,avatars___20210929--1334--SKB942,0,0.6687307059764862
12,avatars___20211001--0855--KJJ701,104,0.9508431926369667
13,avatars___20211001--1304--XMY093,19,0.8762571737170219
14,avatars___20211006--0836--EID363,64,0.9295568987727165
15,avatars___20220114--0820--JZE802,6,0.8237897604703903
16,avatars___20220202--0844--THN461,30,0.881473496556282
17,avatars___20220214--0846--HOS732,134,0.9450967833399773
18,avatars___20220215--0801--ONK705,0,0.6033192873001099
19,avatars___20220216--1324--ZSE894,89,0.933459185063839
20,avatars___20220218--0839--XIT043,122,0.9941936433315277
21,avatars___20220303--1247--TAY503,156,0.9810443967580795
22,avatars___20220304--1320--NNQ107,0,0.3945067524909973
23,avatars___20220307--1342--RGA575,145,0.991295363754034
24,avatars___20220310--1128--ZSC414,50,0.9080348536372185
25,avatars___20220310--1336--XRZ540,0,0.6547210514545441
26,avatars___20220311--1115--NFU480,5,0.8375201523303986
27,avatars___20220314--1116--KMD200,6,0.8172394186258316
28,avatars___20220315--0818--HDZ165,227,1.053349256515503
29,avatars___20220315--1053--FWC239,195,1.00620591128245
30,avatars___20220401--0841--PHT202,17,0.8810472339391708
31,avatars___20220406--1314--PGO261,74,0.952181089669466
32,avatars___20220407--0816--OYQ923,4,0.8237247616052628
33,avatars___20220412--1326--BGR645,4,0.8512439876794815
34,avatars___20220426--1126--SCG995,0,0.3114957809448242
35,avatars___20220510--0837--WFU321,1,0.7269178330898285
36,avatars___20220510--1051--OZZ515,102,0.9550879187881947
37,avatars___20220610--0901--TRP396,1,0.7541539967060089
38,avatars___20220614--1135--DNM410,163,0.9765629377216101
39,avatars___20220627--0812--BPM833,63,0.9154414087533951
40,avatars___20220705--1055--JPG686,0,0.7146674692630768
41,avatars___20220711--1048--UGU718,71,0.9244592040777206
42,avatars___20220711--1300--BHC106,32,0.8746282458305359
43,avatars___20220712--1040--JEH262,106,0.9462538585066795
44,avatars___20220714--1031--NAB660,20,0.8807843998074532
45,avatars___20220726--1314--HNU630,119,0.9583453461527824
46,avatars___20220727--1059--TMA321,25,0.9093905389308929
47,avatars___20220802--0838--IDD857,76,0.9228160232305527
48,avatars___20220805--1649--NCU289,154,0.9804583098739386
49,avatars___20220808--0809--DPE040,4,0.7436616718769073
50,avatars___20220808--1036--IBX730,117,0.9414285197854042
51,avatars___20220809--1034--BJM420,8,0.8342051357030869
52,avatars___20220809--1321--UTC375,33,0.9119950085878372
53,avatars___20220811--1704--HAZ933,2,0.830520510673523
54,avatars___20220812--1031--KVG225,18,0.8706939518451691
55,avatars___20220815--0815--GZL442,2,0.651221513748169
56,avatars___20220815--1041--FZC097,0,0.7824084013700485
57,avatars___20220815--1307--BMP511,31,0.8778020739555359
58,avatars___20220815--1656--MOP211,2,0.8011303395032883
59,avatars___20220818--1304--VCN655,3,0.7720517367124557
60,avatars___20220818--1653--SSF476,10,0.8678165674209595
61,avatars___20220819--0803--BUS250,74,0.9420795775949955
62,avatars___20220819--1313--NYY338,54,0.902471125125885
63,avatars___20220824--0804--GTU803,1,0.6810170114040375
64,avatars___20220829--0836--KSA222,43,0.9146268889307976
65,avatars___20220830--1711--JZN879,78,0.9350710362195969
66,avatars___20220831--0751--CMS162,118,0.9527094885706902
67,avatars___20220831--1047--ZUS575,0,0.45301514863967896
68,avatars___20220901--1305--LNP057,2,0.7464331686496735
69,avatars___20221213--1425--VBY735,21,0.8873547092080116
70,avatars___20230106--1047--QCW581,56,0.9394897781312466
